id,label,date_short,legacy_surface_gap_um,nearer_to_center_um,farther_to_center_um,distance_sum_um,distance_difference_um,cell_volume_um3,cell_radius_equiv_um,pron_volume_a_um3,pron_volume_b_um3,center_plot_x,center_plot_y,center_plot_z,near_plot_x,near_plot_y,near_plot_z,far_plot_x,far_plot_y,far_plot_z,z_scale,extract_error
20251226_zygote_p1_1,Z-P1-fov1,Dec 26,38.98,28.5278,40.9197,69.4475,12.3919,380407.0,44.95,2572.6,2507.8,1472.69,1249.26,1031.8,1533.88,1176.83,858.69,1524.96,1050.12,1219.71,7.0,
20251226_zygote_p1_10,Z-P1-fov10,Dec 26,3.89,16.9184,25.1447,42.063,8.2263,327769.2,42.77,7359.1,4687.2,1299.87,1325.77,905.31,1391.87,1390.82,910.66,1250.43,1485.78,897.93,7.0,
20251226_zygote_p1_2_2,Z-P1-fov2_2,Dec 26,2.73,20.0002,27.289,47.2892,7.2889,388185.8,45.25,8929.4,6919.9,1516.24,673.08,920.64,1508.32,657.51,781.85,1584.75,824.87,843.74,7.0,
20251226_zygote_p1_4,Z-P1-fov4,Dec 26,0.3,17.6347,29.8802,47.515,12.2455,178018.6,34.9,12322.1,7359.1,1336.65,1107.07,717.24,1266.63,1066.59,627.65,1225.06,942.35,727.48,7.0,
20251226_zygote_p1_7,Z-P1-fov7,Dec 26,17.64,16.3709,27.1916,43.5624,10.8207,349164.7,43.68,5078.2,3801.6,1349.84,1221.37,896.56,1333.69,1113.62,903.12,1510.55,1291.68,944.55,7.0,
20251226_zygote_p1_8,Z-P1-fov8,Dec 26,28.01,24.8939,24.916,49.8099,0.0222,320883.1,42.47,2595.6,1303.2,1445.53,1095.31,892.15,1350.22,1183.16,1000.98,1598.17,1124.72,830.7,7.0,
20260407_zygote_p1_0_1,Z-P1-fov0_1,Apr 7,2.66,18.5136,18.6308,37.1443,0.1172,340686.0,43.33,11451.6,6629.8,1182.62,1432.37,644.2,1136.88,1365.21,546.65,1064.19,1451.01,678.28,7.0,
20260407_zygote_p1_0_2,Z-P1-fov0_2,Apr 7,6.62,20.1462,23.8723,44.0185,3.7261,327709.4,42.77,4610.2,4148.6,1152.45,680.9,640.78,1137.03,554.42,596.18,1302.51,630.46,623.69,7.0,
20260407_zygote_p1_1,Z-P1-fov1,Apr 7,3.86,15.5291,16.704,32.2331,1.1749,344501.3,43.49,6936.5,2911.0,1057.86,1199.85,631.98,1063.01,1103.54,592.48,1042.75,1241.44,524.68,7.0,
20260407_zygote_p1_10,Z-P1-fov10,Apr 7,1.24,7.9274,19.0512,26.9786,11.1238,328345.2,42.8,12350.9,5810.4,1012.38,1090.64,628.9,1028.36,1040.59,634.86,1091.8,1185.77,658.1,7.0,
20260407_zygote_p1_11,Z-P1-fov11,Apr 7,0.3,12.5723,16.4949,29.0672,3.9226,247478.4,38.95,5029.9,3199.0,1189.41,1093.25,708.39,1266.99,1091.76,675.1,1201.25,985.09,691.6,7.0,
20260407_zygote_p1_12,Z-P1-fov12,Apr 7,1.35,10.7865,16.2507,27.0371,5.4642,363770.6,44.28,12598.6,7703.3,1193.87,1127.09,635.33,1137.29,1155.95,670.74,1274.81,1128.83,559.74,7.0,
20260407_zygote_p1_2,Z-P1-fov2,Apr 7,12.25,13.94,23.578,37.5179,9.638,325392.5,42.67,6711.1,4221.4,1177.03,1227.38,628.37,1245.1,1255.1,688.08,1039.17,1155.72,653.42,7.0,
